discovered_at,capability_bucket,org_name_guess,url,title,snippet,query,matched_keywords,confidence_score,status
2026-01-06 14:35:29,Regulatory / FDA,Virginia's Emerging Life Sciences Incubators and Accelerators,https://news.biobuzz.io/2024/11/14/virginias-emerging-life-sciences-incubators-and-accelerators/,Virginia's Emerging Life Sciences Incubators and Accelerators,"Activate VA's programming includes business competitions, investor meetups, and access to regulatory experts who guide compliance and product ...",FDA regulatory consulting nonprofit accelerator Virginia,regulatory; ide,0.6,added
2026-01-06 14:35:29,Regulatory / FDA,Regulatory Accelerator,https://www.fda.gov/medical-devices/digital-health-center-excellence/regulatory-accelerator,Regulatory Accelerator,Regulatory Accelerator is an initiative featuring specific FDA resources that have been curated and presented to meet the information needs ...,FDA regulatory consulting nonprofit accelerator Virginia,fda; regulatory,0.6,added
2026-01-06 14:35:29,Regulatory / FDA,Virginia Life Sciences Ecosystem Helps Make Research ...,https://www.vedp.org/news/virginia-life-sciences-ecosystem-helps-make-research-breakthroughs-reality,Virginia Life Sciences Ecosystem Helps Make Research ...,"CvilleBioHub is one of several programs scattered across the state that provide resources, investment, and expertise to help life sciences companies grow.",FDA regulatory consulting nonprofit accelerator Virginia,ide,0.4,queued
2026-01-06 14:35:29,Regulatory / FDA,Regulatory Science Accelerator: Computational Modeling,https://reaganudall.org/regulatory-science-accelerator-computational-modeling-simulation-cms-fda-regulated-products,Regulatory Science Accelerator: Computational Modeling,The RSA represents opportunities for FDA to efficiently prepare for new science and technology that Agency staff will likely encounter in its regulatory work.,FDA regulatory consulting nonprofit accelerator Virginia,fda; regulatory,0.6,added
2026-01-06 14:35:29,Regulatory / FDA,FDA Regulated Consulting Services,https://dunnregulatory.com/,FDA Regulated Consulting Services | Oakton VA | Dunn ...,"Our expert consultants are US and EU strategists, who have a proven track record of resolving even the most complex regulatory situations.",FDA regulatory consulting nonprofit accelerator Virginia,fda; regulatory,0.5,queued
2026-01-06 14:35:29,Regulatory / FDA,Accorto Regulatory Solutions: Expert FDA Guidance,https://accortoreg.com/about/,Accorto Regulatory Solutions: Expert FDA Guidance,"Established in 2021 in Richmond, Virginia, Accorto Regulatory Solutions is an independent regulatory firm committed to providing ...",FDA regulatory consulting nonprofit accelerator Virginia,fda; regulatory; ind,0.7,added
2026-01-06 14:35:29,Regulatory / FDA,Biologics Consulting,https://biologicsconsulting.com/,Biologics Consulting | Achieve FDA Success,"Biologics Consulting is regulatory and product development consulting firm specializing in biologics, pharmaceuticals, and medical devices.",FDA regulatory consulting nonprofit accelerator Virginia,fda; regulatory,0.5,queued
2026-01-06 14:35:29,Regulatory / FDA,Virginia Accelerator Network,https://vipc.org/initiatives/virginia-accelerator-network/,Virginia Accelerator Network,The Virginia Accelerator Network (VAN) is a consortium of nonprofit entrepreneur support organizations (ESOs) dedicated to transforming economic development.,FDA regulatory consulting nonprofit accelerator Virginia,,0.5,queued
2026-01-06 14:35:29,Regulatory / FDA,Investigational New Drug (IND) Submission Support,https://www.criver.com/products-services/safety-assessment/ind-enabling-studies/investigational-new-drug-ind-submission-support,Investigational New Drug (IND) Submission Support,Charles River regulatory experts can guide you through the regulatory IND submission and filing process to help you achieve your goal of becoming ...,IND regulatory support organization,regulatory; ind; ide,0.7,added
2026-01-06 14:35:29,Regulatory / FDA,Investigational New Drug (IND) application,https://hallorancg.com/services/preclinical/investigational-new-drug-application,Investigational New Drug (IND) application,"Committed to addressing unmet patient needs, Halloran offers tailored regulatory support to ensure your IND application is expertly guided.",IND regulatory support organization,regulatory; ind; ide,0.7,added
2026-01-06 14:35:29,Regulatory / FDA,IND Application Support for Successful Clinical Trials,https://biobostonconsulting.com/investigational-new-drug-ind-application/,IND Application Support for Successful Clinical Trials,"At BioBoston Consulting, we provide expert guidance throughout the IND application process, ensuring that your submission meets regulatory requirements to ...",IND regulatory support organization,regulatory; ind; ide,0.7,added
2026-01-06 14:35:29,Regulatory / FDA,IND/IDE Support,https://ctsi.osu.edu/research-resources/regulatory-support/indide-support,IND/IDE Support - Clinical and Translational Science Institute,We provide: Request support for IND/IDE submissions and FDA meetings by contacting the CTSI-Regulatory Team.,IND regulatory support organization,fda; regulatory; ind; ide,1.0,added
