Org Name,Organization Type,HQ Related Organization,Org Contacts,Long Name / Description,Website URL,Project Name,Full Name,Sub / HQ,Resources,"Industry ",Track Record,Charlottesville?,Virginia?
Luna Labs,Private Sector,,James Garrett (https://www.notion.so/James-Garrett-27c4e34e337d8001b3e9d95a73fcc42b?pvs=21),"Luna Labs is a specialty product development and technology company based in Charlottesville, Virginia. Its teams of scientists and engineers work across advanced materials, engineered systems, and biotechnology to develop solutions for challenging problems in defense, industrial, healthcare, aerospace, and energy sectors. ",lunalabs.us,,,,validation,life sciences,,Yes,Yes
Virginia Catalyst,Funding Source,,,"A state-supported nonprofit that funds collaborative life sciences research between Virginia's research universities and industry. Virginia Catalyst aims to grow the commonwealth's biotech ecosystem by advancing innovations in healthcare, pharmaceuticals, and medical technologies.",https://www.virginiacatalyst.org/,Adovate (https://www.notion.so/Adovate-1f24e34e337d80989c89fc061784600d?pvs=21),,,"funding, incubation",life sciences,Portfolio/Alumni Size (40+ life-science ventures); Notable Outcomes (10+ company exits/partnerships); Activity/Engagement Level (10+ years); Press/News Presence (50+); Funding Impact ($30M+ direct to ventures; $250M+ leveraged),No,Yes
National Science Foundation,Funding Source,,,"A federal agency that supports fundamental research and education in all non-medical fields of science and engineering. The NSF funds research at universities and research institutions across the U.S. and runs programs like CAREER, I-Corps, and the NSF GRFP to support researchers and students.",https://www.nsf.gov,"Avant Genomics (https://www.notion.so/Avant-Genomics-1d74e34e337d8122aaeffb3fe0887216?pvs=21), BIRE Technologies (https://www.notion.so/BIRE-Technologies-1e54e34e337d803ca17ce42036ff3532?pvs=21), Roversa Robotics (https://www.notion.so/Roversa-Robotics-1d74e34e337d813b9445cd083056d480?pvs=21)","Andres  Clarens (https://www.notion.so/Andres-Clarens-1d74e34e337d8124b6a9e2bb3761784b?pvs=21), Arsalan Heydarian (https://www.notion.so/Arsalan-Heydarian-1d74e34e337d811a9918c4d2c2b899bf?pvs=21), Somayeh Asadi (https://www.notion.so/Somayeh-Asadi-1f44e34e337d80a093e4ee99d337b6ef?pvs=21), Kevin Sullivan (https://www.notion.so/Kevin-Sullivan-1d74e34e337d81bebbc2f0a6c58ac498?pvs=21), Mahdur Behl (https://www.notion.so/Mahdur-Behl-1d74e34e337d81449026e3eed482a74d?pvs=21), Mool Gupta (https://www.notion.so/Mool-Gupta-1d74e34e337d813f9ffbd67cfc896d15?pvs=21), Nicolas (Nikos) Sidiropoulos (https://www.notion.so/Nicolas-Nikos-Sidiropoulos-1d74e34e337d816ab9d4e26bc28fdfe2?pvs=21), Peter Youngs (https://www.notion.so/Peter-Youngs-1e04e34e337d802eb7e8dc616903bf83?pvs=21), Eric Bredder (https://www.notion.so/Eric-Bredder-1d74e34e337d81a78d3acc4638f4d622?pvs=21), Sarah Sun (https://www.notion.so/Sarah-Sun-1d74e34e337d81a8ac1cdd5a6b1f9ddc?pvs=21), Sheng Li (https://www.notion.so/Sheng-Li-1eb4e34e337d805a9fc2e7b590022071?pvs=21), Kate Matthew (https://www.notion.so/Kate-Matthew-1d74e34e337d81e0a403de3de192b9d3?pvs=21), Tom Barker (https://www.notion.so/Tom-Barker-1d74e34e337d8160b603df4661f95044?pvs=21), Valentin Romanovski (https://www.notion.so/Valentin-Romanovski-1d74e34e337d817ab12cd4d130bda9b5?pvs=21), Eric Loth (https://www.notion.so/Eric-Loth-1d74e34e337d8174ab61d3eee275e3e6?pvs=21), Cong Shen (https://www.notion.so/Cong-Shen-1d74e34e337d81708d0cd8c0e73c46fe?pvs=21), Yangfeng Ji (https://www.notion.so/Yangfeng-Ji-1d74e34e337d81f5ace7e91ddd7ef0b6?pvs=21)",,"funding, incubation, networking, training","climate / cleantech, deep tech, education / edtech, hardware / manufacturing, life sciences, software / SaaS",Portfolio/Alumni Size (~600/year via SBIR & I?Corps); Notable Outcomes (50+ IPOs/M&As); Activity/Engagement Level (70+ years); Press/News Presence (500+); Funding Impact ($200M/year direct; $8B+ cumulative SBIR; $3.16B raised by I-Corps startups),No,No
Commonwealth Bio Accelerator,Accelerator,CvilleBioHub (https://www.notion.so/CvilleBioHub-1f24e34e337d80888e3dc5c3a424b091?pvs=21),Nikki Hastings (https://www.notion.so/Nikki-Hastings-1d74e34e337d81ebb2e9c6c0ca9619f3?pvs=21),Virginia-based accelerator supporting biotech and life science startups through mentorship and resources.,https://cvillebiohub.org/accelerator/,"Avant Genomics (https://www.notion.so/Avant-Genomics-1d74e34e337d8122aaeffb3fe0887216?pvs=21), Protective Vest Project (Cady Hug) (https://www.notion.so/Protective-Vest-Project-Cady-Hug-1d74e34e337d815da61fd9fd6c27fca0?pvs=21)",,,"acceleration, funding, incubation, mentorship, networking, validation",life sciences,"Portfolio/Alumni Size (supports initial cohort of six biotech companies); Activity/Engagement Level (launched February 2025); Press/News Presence (50+ mentions in UVA Today, Virginia Business, Virginia Bio-Connect, local press); Funding Impact ($4.3M GO Virginia grant + $750K UVA lease + $100K UVA Innovates; total project exceeds $7.5M) ",Yes,Yes
TitletownTech,Accelerator,,,"A Wisconsin-based innovation hub and venture fund launched by the Green Bay Packers and Microsoft, supporting startups in industries such as health, supply chain, sports tech, and agriculture. It combines funding, mentorship, and collaboration with corporate partners.",https://www.titletowntech.com,"Avant Genomics (https://www.notion.so/Avant-Genomics-1d74e34e337d8122aaeffb3fe0887216?pvs=21), Springbok Analytics (https://www.notion.so/Springbok-Analytics-1df4e34e337d8092b220fc2912e0ed20?pvs=21)",,,"funding, incubation, networking","consumer products, impact / social ventures, life sciences, software / SaaS",Portfolio/Alumni Size (20+ startups accelerated); Activity/Engagement Level (5+ years); Press/News Presence (20+); Funding Impact ($25M+ invested in local startups),No,No
VIPC-CCF,Funding Source,,Robert Brooke (https://www.notion.so/Robert-Brooke-27c4e34e337d8020b488fec1ee3a413f?pvs=21),Virginia Innovation Partnership Corporation’s Commonwealth Commercialization Fund; provides grants to early-stage Virginia tech and life sciences ventures.,https://vipc.org/funding/universities/,"BIRE Technologies (https://www.notion.so/BIRE-Technologies-1e54e34e337d803ca17ce42036ff3532?pvs=21), iD Pet (https://www.notion.so/iD-Pet-1d74e34e337d81d1a0e6e9bd322615f6?pvs=21), Periop Green (https://www.notion.so/Periop-Green-1d74e34e337d81aeab2dda5580d11870?pvs=21), Roversa Robotics (https://www.notion.so/Roversa-Robotics-1d74e34e337d813b9445cd083056d480?pvs=21)","Bijoy  Kundu (https://www.notion.so/Bijoy-Kundu-1d74e34e337d81d0bbb1d1820e5d969a?pvs=21), Jiang He (https://www.notion.so/Jiang-He-1d74e34e337d8197b5b0ecbb41552198?pvs=21), Tom Barker (https://www.notion.so/Tom-Barker-1d74e34e337d8160b603df4661f95044?pvs=21)",,"acceleration, funding, grant support, incubation, networking, training, validation","climate / cleantech, cybersecurity, deep tech, hardware / manufacturing, life sciences, software / SaaS","Activity/Engagement Level (since July 2020 amendment/focus); Funding Impact (more than $55M awarded to Virginia-based startups, entrepreneurs, and university innovators since 2012)",No,Yes
LVG,University Unit or School,University of Virginia (https://www.notion.so/University-of-Virginia-1f24e34e337d8012a5fadc0fc19d7b8f?pvs=21),Rich Chylla (https://www.notion.so/Rich-Chylla-1d74e34e337d81b4a1c1c89e87a704ba?pvs=21),UVA Licensing & Ventures Group; manages UVA’s intellectual property and supports faculty startups.,https://lvg.virginia.edu,"Avant Genomics (https://www.notion.so/Avant-Genomics-1d74e34e337d8122aaeffb3fe0887216?pvs=21), Roversa Robotics (https://www.notion.so/Roversa-Robotics-1d74e34e337d813b9445cd083056d480?pvs=21)",,"LVG Seed Fund (https://www.notion.so/LVG-Seed-Fund-1f24e34e337d80c7b007d244e97b2506?pvs=21), LVG Enterprise Studio (https://www.notion.so/LVG-Enterprise-Studio-1f24e34e337d80e181abf265a7afa860?pvs=21)","funding, grant support, incubation, mentorship, networking, training, validation","deep tech, education / edtech, hardware / manufacturing, life sciences, software / SaaS, tech","Portfolio/Alumni Size (steers 5–7 new UVA spinouts annually, with ~80 commercial transactions yearly); Activity/Engagement Level (since 1977, ~48 years); Press/News Presence (50+ mentions via UVA Today, LinkedIn, press releases); Funding Impact (Seed Fund deployed >$1.25M in high-potential venture investments in FY2024, supports I-Corps & tech licenses)",Yes,Yes
iTHRIV Pilot Translational and Clinical Studies Program,Funding Source,,,"Part of the Integrated Translational Health Research Institute of Virginia (iTHRIV), this program provides seed funding for early-stage research that bridges basic science and clinical application. It supports pilot projects that demonstrate potential for future NIH funding or real-world health impact.",https://ithriv.org/pilot,Periop Green (https://www.notion.so/Periop-Green-1d74e34e337d81aeab2dda5580d11870?pvs=21),,,"funding, grant support, validation",life sciences,"Portfolio/Alumni Size (selects 4�5 multi-institutional teams annually for pilot grants); Activity/Engagement Level (ongoing since at least 2019); Press/News Presence (covered in UVA and VT news outlets, Announcements in 2019, 2020, 2023); Funding Impact (awards up to $50K per project; part of NIH CTSA-supported $23M grant and pilot funding)",Yes,Yes
Spartan Innovations,Accelerator,,,"An MSU-affiliated accelerator that helps launch startup companies based on university technologies by providing mentorship, education, and early-stage funding.",https://www.msufoundation.org/,Portera Therapeutics (https://www.notion.so/Portera-Therapeutics-1e04e34e337d80618feae2f94434b591?pvs=21),,,"acceleration, funding, incubation, mentorship, networking, training, validation","hardware / manufacturing, life sciences, software / SaaS",Portfolio/Alumni Size (30+ student?led startup teams); Activity/Engagement Level (5+ years); Press/News Presence (15+); Funding Impact ($2M+),No,No
Red Cedar Ventures,Funding Source,,,A venture capital firm affiliated with the MSU Foundation that invests in early-stage companies emerging from Michigan State University and the broader innovation ecosystem.,https://redcedarventures.com,Portera Therapeutics (https://www.notion.so/Portera-Therapeutics-1e04e34e337d80618feae2f94434b591?pvs=21),,,"funding, networking","deep tech, hardware / manufacturing, life sciences, software / SaaS",Portfolio/Alumni Size (20+ agtech/spinouts); Activity/Engagement Level (10+ years); Press/News Presence (10+); Funding Impact ($15M+),No,No
